adsh,cik,company_name,sic,form,fiscal_year,fiscal_period,filing_period,current_period,prior_period,period_gap_days,filed_date,revenue_tag,revenue_unit,revenue_current,revenue_prior,revenue_change,revenue_change_pct,net_income_tag,net_income_unit,net_income_current,net_income_prior,net_income_change,net_income_change_pct,net_margin_current_pct,net_margin_prior_pct,net_margin_change_pp,operating_income_tag,operating_income_unit,operating_income_current,operating_income_prior,operating_income_change,operating_income_change_pct,operating_margin_current_pct,operating_margin_prior_pct,operating_margin_change_pp,profitability_measure_coverage,trend_classification,classification_rule
0001178913-26-001932,0001015922,CHECK POINT SOFTWARE TECHNOLOGIES LTD,7372,20-F,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-31,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2725400000.0,2565000000.0,160400000.0,6.253411306042885,NetIncomeLoss,USD,1056900000.0,845700000.0,211200000.0,24.97339482085846,38.77962867835914,32.97076023391813,5.808868444441012,OperatingIncomeLoss,USD,831100000.0,876000000.0,-44900000.0,94.87442922374429,30.494606296323475,34.15204678362573,-3.65744048730226,net_income_and_operating_income,mixed_or_flat,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001193125-26-048855,0001333274,MERCER INTERNATIONAL INC.,2611,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-12,RevenueFromContractWithCustomerExcludingAssessedTax,USD,1868070000.0,2043360000.0,-175290000.0,-8.57851773549448,NetIncomeLoss,USD,-497889000.0,-85141000.0,-412748000.0,-484.78171503740856,-26.65258796511908,-4.166715605669094,-22.485872359449985,OperatingIncomeLoss,USD,-397749000.0,15007000.0,-412756000.0,-2650.4231358699276,-21.291975140117877,0.7344276094276094,-22.026402749545486,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001193125-26-056029,0001936258,NEWAMSTERDAM PHARMA CO N.V.,2834,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-18,RevenueFromContractWithCustomerExcludingAssessedTax,USD,22503000.0,45563000.0,-23060000.0,-50.611241577595855,NetIncomeLoss,USD,-203819000.0,-241598000.0,37779000.0,15.637132757721504,-905.7414566946629,-530.2504224919343,-375.4910342027287,OperatingIncomeLoss,USD,-225683000.0,-176289000.0,-49394000.0,-128.0187646421501,-1002.9018353108474,-386.91262647323487,-615.9892088376126,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001193125-26-059193,0000916076,MARTIN MARIETTA MATERIALS INC,1400,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-19,RevenueFromContractWithCustomerExcludingAssessedTax,USD,6150000000.0,5662000000.0,488000000.0,8.618862592723419,NetIncomeLoss,USD,1137000000.0,1995000000.0,-858000000.0,-43.00751879699248,18.48780487804878,35.23489932885906,-16.74709445081028,OperatingIncomeLoss,USD,1437000000.0,2479000000.0,-1042000000.0,57.966922146026626,23.365853658536587,43.783115506888024,-20.41726184835144,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001193125-26-062604,0001000697,WATERS CORP /DE/,3826,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-23,RevenueFromContractWithCustomerExcludingAssessedTax,USD,3165286000.0,2958387000.0,206899000.0,6.9936421435059035,NetIncomeLossAvailableToCommonStockholdersBasic,USD,642629000.0,637834000.0,4795000.0,0.7517629978960043,20.302399214478566,21.560194795339488,-1.2577955808609236,OperatingIncomeLoss,USD,802588000.0,826353000.0,-23765000.0,97.12411039834066,25.355939400104763,27.932552434823435,-2.5766130347186778,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001193125-26-063120,0000715957,"DOMINION ENERGY, INC",4911,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-23,Revenues,USD,16506000000.0,14459000000.0,2047000000.0,14.157272287156788,NetIncomeLoss,USD,2998000000.0,2034000000.0,964000000.0,47.39429695181907,18.163092208893737,14.06736288816654,4.095729320727195,OperatingIncomeLoss,USD,4414000000.0,3247000000.0,1167000000.0,135.94086849399446,26.74179086392827,22.45660142471817,4.285189439210097,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001193125-26-067039,0000026058,CTS CORP,3672,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-24,Revenues,USD,541318000.0,514756000.0,26562000.0,5.160114695117687,NetIncomeLoss,USD,65317000.0,55472000.0,9845000.0,17.747692529564464,12.066290055013873,10.776367832526478,1.289922222487394,OperatingIncomeLoss,USD,82642000.0,71185000.0,11457000.0,116.09468286858187,15.266811744667644,13.82888203342943,1.4379297112382146,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001193125-26-068925,0001520262,ALKERMES PLC.,2834,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-25,RevenueFromContractWithCustomerExcludingAssessedTax,USD,1475899000.0,1557632000.0,-81733000.0,-5.247259943298546,NetIncomeLoss,USD,241664000.0,367070000.0,-125406000.0,-34.16405590214401,16.374020173467155,23.56590003287041,-7.191879859403253,OperatingIncomeLoss,USD,253956000.0,420636000.0,-166680000.0,60.37429036031153,17.20686849167863,27.004838113238556,-9.797969621559924,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001193125-26-071307,0001746618,"REVOLVE GROUP, INC.",5961,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-25,RevenueFromContractWithCustomerExcludingAssessedTax,USD,1225682000.0,1129911000.0,95771000.0,8.475977311487364,NetIncomeLoss,USD,61709000.0,49557000.0,12152000.0,24.52125834897189,5.034666414290166,4.385920661007814,0.6487457532823531,OperatingIncomeLoss,USD,74263000.0,51417000.0,22846000.0,144.43277515218702,6.058912507485628,4.5505353961506705,1.5083771113349576,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001193125-26-071525,0001369568,"CATALYST PHARMACEUTICALS, INC.",2834,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-25,RevenueFromContractWithCustomerExcludingAssessedTax,USD,588989000.0,491734000.0,97255000.0,19.77796938995473,NetIncomeLoss,USD,214326000.0,163889000.0,50437000.0,30.775097779594727,36.3887950369192,33.328791582440914,3.0600034544782826,OperatingIncomeLoss,USD,257778000.0,195124000.0,62654000.0,132.10983784670262,43.76618239050305,39.68080303578764,4.085379354715407,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001193125-26-072003,0001340476,DIRTT ENVIRONMENTAL SOLUTIONS LTD,7372,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-25,Revenues,USD,168855000.0,174313000.0,-5458000.0,-3.1311491397658235,NetIncomeLoss,USD,-14448000.0,14770000.0,-29218000.0,-197.81990521327015,-8.55645376210358,8.473263612008283,-17.029717374111865,OperatingIncomeLoss,USD,-11306000.0,4226000.0,-15532000.0,-267.5343114055845,-6.695685647448995,2.424374544640962,-9.120060192089955,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001193125-26-073395,0001815442,"KYMERA THERAPEUTICS, INC.",2836,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-26,RevenueFromContractWithCustomerExcludingAssessedTax,USD,39211000.0,47072000.0,-7861000.0,-16.699949014276,NetIncomeLoss,USD,-311351000.0,-223858000.0,-87493000.0,-39.08415156036416,-794.0399377725638,-475.5650917743032,-318.47484599826066,OperatingIncomeLoss,USD,-349399000.0,-261635000.0,-87764000.0,-133.54444168402546,-891.0739333350335,-555.8187457511897,-335.25518758384385,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001193125-26-076536,0001395937,SYNDAX PHARMACEUTICALS INC,2834,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-26,RevenueFromContractWithCustomerExcludingAssessedTax,USD,172352000.0,23680000.0,148672000.0,627.8378378378378,NetIncomeLoss,USD,-285422000.0,-318758000.0,33336000.0,10.458090463611894,-165.604112513925,-1346.106418918919,1180.502306404994,OperatingIncomeLoss,USD,-273084000.0,-339672000.0,66588000.0,-80.39638239242564,-158.4455068696621,-1434.4256756756756,1275.9801688060136,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001193125-26-076550,0001652130,"INTELLIA THERAPEUTICS, INC.",2835,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-26,RevenueFromContractWithCustomerExcludingAssessedTax,USD,67671000.0,57877000.0,9794000.0,16.922093404979524,NetIncomeLoss,USD,-412694000.0,-519021000.0,106327000.0,20.486068964454233,-609.8535561762054,-896.7655545380721,286.9119983618666,OperatingIncomeLoss,USD,-440990000.0,-534263000.0,93273000.0,-82.54174442175483,-651.6676271962879,-923.1007135822521,271.43308638596403,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001193125-26-085584,0001811063,NUVATION BIO INC.,2834,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-02,RevenueFromContractWithCustomerExcludingAssessedTax,USD,62902000.0,7873000.0,55029000.0,698.9584656420678,NetIncomeLoss,USD,-204627000.0,-567939000.0,363312000.0,63.970250326179396,-325.31080092842836,-7213.755874507811,6888.445073579382,OperatingIncomeLoss,USD,-213064000.0,-592627000.0,379563000.0,-35.9524625101455,-338.7237289752313,-7527.333926076464,7188.610197101234,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001193125-26-102079,0000002098,ACME UNITED CORP,3420,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-11,Revenues,USD,196541816.0,194489991.0,2051825.0,1.0549771684651885,NetIncomeLoss,USD,10184421.0,10022351.0,162070.0,1.6170856518595287,5.1818087403853035,5.1531448731467115,0.02866386723859235,OperatingIncomeLoss,USD,14724514.0,14139942.0,584572.0,104.13418951789194,7.491797063684402,7.270267188196847,0.22152987548755554,net_income_and_operating_income,mixed_or_flat,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001193125-26-102183,0002018064,"TECHTARGET, INC.",4822,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-11,RevenueFromContractWithCustomerExcludingAssessedTax,USD,486791000.0,284897000.0,201894000.0,70.86561108049575,NetIncomeLoss,USD,-1008306000.0,-116863000.0,-891443000.0,-762.8102992392802,-207.13324609534686,-41.01938595352004,-166.11386014182682,OperatingIncomeLoss,USD,-1025852000.0,-119109000.0,-906743000.0,-861.2716083587302,-210.7376677054424,-41.80774104325423,-168.92992666218814,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001193125-26-104062,0000849145,HERITAGE GLOBAL INC.,7389,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-12,RevenueFromContractWithCustomerExcludingAssessedTax,USD,50978000.0,45361000.0,5617000.0,12.382883975221004,NetIncomeLoss,USD,3587000.0,5182000.0,-1595000.0,-30.779621767657275,7.036368629604928,11.42391040761888,-4.3875417780139525,OperatingIncomeLoss,USD,5711000.0,9066000.0,-3355000.0,62.99360247076991,11.202871827062655,19.986331870990497,-8.783460043927843,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001193125-26-120014,0002079999,CARDINAL INFRASTRUCTURE GROUP INC.,1600,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-23,RevenueFromContractWithCustomerIncludingAssessedTax,USD,456045369.0,315187523.0,140857846.0,44.69017195201601,NetIncomeLoss,USD,22686057.0,21357346.0,1328711.0,6.2213301221977675,4.97451756822905,6.776075967956384,-1.8015583997273334,OperatingIncomeLoss,USD,40404407.0,35934366.0,4470041.0,112.43945976394853,8.859734084921714,11.400948126998035,-2.5412140420763216,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001193125-26-131874,0001937987,"FALCON'S BEYOND GLOBAL, INC.",7990,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-30,Revenues,USD,14896000.0,6745000.0,8151000.0,120.84507042253522,ProfitLoss,USD,6312000.0,149481000.0,-143169000.0,-95.77738976859935,42.37379162191192,2216.1749444032616,-2173.8011527813496,OperatingIncomeLoss,USD,-13408000.0,-15867000.0,2459000.0,-84.50242641961303,-90.01074113856069,-235.24091919940696,145.23017806084627,net_income_and_operating_income,mixed_or_flat,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001193125-26-134555,0001891856,"GEN RESTAURANT GROUP, INC.",5812,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-31,RevenueFromContractWithCustomerExcludingAssessedTax,USD,212541000.0,208380000.0,4161000.0,1.996832709473078,NetIncomeLoss,USD,-3026000.0,592000.0,-3618000.0,-611.1486486486486,-1.4237253047647278,0.28409636241481906,-1.7078216671795468,OperatingIncomeLoss,USD,-19993000.0,476000.0,-20469000.0,-4200.210084033613,-9.406655657026175,0.22842883194164507,-9.635084488967818,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001213900-26-015723,0001826376,GOLDEN SUN TECHNOLOGY GROUP LTD.,8200,20-F,2025,FY,2025-09-30,2025-09-30,2024-09-30,365,2026-02-13,Revenues,USD,35479712.0,6087457.0,29392255.0,482.8330614902085,NetIncomeLoss,USD,-5087330.0,-3706166.0,-1381164.0,-37.26665238416196,-14.338701509189251,-60.88200705154878,46.543305542359526,OperatingIncomeLoss,USD,-2099974.0,-1739764.0,-360210.0,-120.70453233886894,-5.9188022721266735,-28.57948729658378,22.660685024457106,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001213900-26-021131,0000747540,SURGE COMPONENTS INC,5065,10-K,2025,FY,2025-11-30,2025-11-30,2024-11-30,365,2026-02-27,Revenues,USD,36320105.0,31211139.0,5108966.0,16.369046961086553,NetIncomeLoss,USD,1136713.0,825677.0,311036.0,37.67042075775394,3.129707361804158,2.6454561623015422,0.48425119950261525,OperatingIncomeLoss,USD,1254402.0,903947.0,350455.0,138.76941900354777,3.4537400153441187,2.89623201511486,0.5575080002292586,net_income_and_operating_income,mixed_or_flat,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001213900-26-026501,0002028336,"NEW ERA ENERGY & DIGITAL, INC.",1311,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-12,RevenueFromContractWithCustomerIncludingAssessedTax,USD,885400.0,532780.0,352620.0,66.18491685123315,NetIncomeLoss,USD,-29585804.0,-13782384.0,-15803420.0,-114.6639072021212,-3341.5184097583015,-2586.880888922257,-754.6375208360448,OperatingIncomeLoss,USD,-24503264.0,-12732730.0,-11770534.0,-192.44312884982247,-2767.4795572622543,-2389.8663613499007,-377.61319591235394,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001213900-26-034944,0001801602,"SPRINGBIG HOLDINGS, INC.",7371,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-27,Revenues,USD,22834000.0,24649000.0,-1815000.0,-7.363381881617916,NetIncomeLoss,USD,-3247000.0,-1876000.0,-1371000.0,-73.08102345415779,-14.220022773057721,-7.610856424195708,-6.609166348862014,OperatingIncomeLoss,USD,-1726000.0,-600000.0,-1126000.0,-287.6666666666667,-7.558903389682053,-2.4341758286340216,-5.124727561048031,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001213900-26-037687,0001981662,NEWGENIVF GROUP LTD,8090,20-F,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-31,Revenues,USD,4726433.0,5433375.0,-706942.0,-13.011102675592978,NetIncomeLoss,USD,9879408.0,-524643.0,10404051.0,1983.072489292719,209.02460692873464,-9.655932086410381,218.680539015145,OperatingIncomeLoss,USD,-10726461.0,-1160495.0,-9565966.0,-924.3004924622683,-226.94621927360444,-21.358639887730924,-205.5875793858735,net_income_and_operating_income,mixed_or_flat,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001321732-26-000007,0001321732,PENUMBRA INC,3841,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-25,Revenues,USD,1403665000.0,1194615000.0,209050000.0,17.49936171904756,NetIncomeLoss,USD,177687000.0,14012000.0,163675000.0,1168.105909220668,12.658789668475029,1.172930190898323,11.485859477576705,OperatingIncomeLoss,USD,189249000.0,9279000.0,179970000.0,2039.5408988037505,13.482490480278415,0.7767356010095303,12.705754879268882,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001324424-26-000008,0001324424,"EXPEDIA GROUP, INC.",4700,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-13,RevenueFromContractWithCustomerExcludingAssessedTax,USD,14733000000.0,13691000000.0,1042000000.0,7.610839237455263,NetIncomeLoss,USD,1294000000.0,1234000000.0,60000000.0,4.862236628849271,8.783004140365167,9.013220363742604,-0.23021622337743852,OperatingIncomeLoss,USD,1871000000.0,1319000000.0,552000000.0,141.84988627748294,12.699382338966945,9.634066174859397,3.065316164107547,net_income_and_operating_income,mixed_or_flat,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001376474-26-000218,0001997403,"ZENATECH, INC.",7372,20-F/A,2024,FY,2024-12-31,2024-12-31,2023-12-31,366,2026-02-27,Revenues,CAD,1963605.0,1827740.0,135865.0,7.433497105715255,NetIncomeLoss,CAD,-4481751.0,-241504.0,-4240247.0,-1755.7667781900093,-228.240964959857,-13.213257903202862,-215.02770705665415,OperatingIncomeLoss,CAD,-4460994.0,-234068.0,-4226926.0,-1905.8538544354633,-227.1838786313948,-12.80641666757854,-214.37746196381627,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001380106-26-000034,0001380106,"RAPID MICRO BIOSYSTEMS, INC.",3826,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-12,RevenueFromContractWithCustomerExcludingAssessedTax,USD,33587000.0,28051000.0,5536000.0,19.73548180100531,NetIncomeLoss,USD,-47123000.0,-46889000.0,-234000.0,-0.49905095011623196,-140.3013070533242,-167.15625111404228,26.85494406071809,OperatingIncomeLoss,USD,-47392000.0,-49919000.0,2527000.0,-94.9377992347603,-141.10221216542115,-177.95800506220812,36.85579289678698,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001401257-26-000015,0001401257,"FORUM ENERGY TECHNOLOGIES, INC.",3533,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-27,RevenueFromContractWithCustomerExcludingAssessedTax,USD,791474000.0,816425000.0,-24951000.0,-3.056128854456931,NetIncomeLoss,USD,-9660000.0,-135326000.0,125666000.0,92.86168216011706,-1.2205075593133823,-16.575435588082186,15.354928028768805,OperatingIncomeLoss,USD,30145000.0,-86767000.0,116912000.0,34.7424712160153,3.808716394979494,-10.627675536638392,14.436391931617887,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001437749-26-001268,0000740664,R F INDUSTRIES LTD,3678,10-K,2025,FY,2025-10-31,2025-10-31,2024-10-31,365,2026-01-14,RevenueFromContractWithCustomerIncludingAssessedTax,USD,80586000.0,64857000.0,15729000.0,24.251815532633334,NetIncomeLoss,USD,75000.0,-6599000.0,6674000.0,101.13653583876345,0.0930682748864567,-10.17469201474012,10.267760289626578,OperatingIncomeLoss,USD,1785000.0,-2823000.0,4608000.0,63.23060573857598,2.2150249422976698,-4.3526527591470465,6.567677701444715,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001437749-26-003189,0000010329,BASSETT FURNITURE INDUSTRIES INC,2511,10-K,2025,FY,2025-11-30,2025-11-30,2024-11-30,365,2026-02-05,RevenueFromContractWithCustomerExcludingAssessedTax,USD,335280000.0,329923000.0,5357000.0,1.6237121995132198,NetIncomeLoss,USD,6100000.0,-9695000.0,15795000.0,162.9190304280557,1.8193748508709138,-2.938564452917802,4.757939303788716,OperatingIncomeLoss,USD,7827000.0,-16269000.0,24096000.0,48.10990226811728,2.334466714387974,-4.931150601807088,7.265617316195063,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001437749-26-006234,0001668243,UROGEN PHARMA LTD.,2834,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-02,RevenueFromContractWithCustomerExcludingAssessedTax,USD,109788000.0,90398000.0,19390000.0,21.449589592690103,NetIncomeLoss,USD,-153494000.0,-126874000.0,-26620000.0,-20.98144615918155,-139.80945094181513,-140.3504502311998,0.5409992893846693,OperatingIncomeLoss,USD,-124863000.0,-96782000.0,-28081000.0,-129.0146928147796,-113.7310088534266,-107.06210314387486,-6.668905709551742,net_income_and_operating_income,mixed_or_flat,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001437749-26-008023,0000072444,"VAXART, INC.",2836,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-13,Revenues,USD,237258000.0,28700000.0,208558000.0,726.6829268292682,NetIncomeLoss,USD,16327000.0,-66948000.0,83275000.0,124.38758439385792,6.881538241070902,-233.26829268292684,240.14983092399774,OperatingIncomeLoss,USD,18074000.0,-66293000.0,84367000.0,27.26381367565203,7.617867469168584,-230.98606271777004,238.6039301869386,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001437749-26-010356,0001377149,CAREVIEW COMMUNICATIONS INC,3663,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-30,RevenueFromContractWithCustomerExcludingAssessedTax,USD,9016437.0,8251215.0,765222.0,9.274052366833248,NetIncomeLoss,USD,-3200453.0,-4701144.0,1500691.0,31.921825836434707,-35.49576179592892,-56.97517274728631,21.47941095135738,OperatingIncomeLoss,USD,-55018.0,-1576908.0,1521890.0,-3.4889796995132247,-0.6101966885589064,-19.111221801880088,18.50102511332118,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001437749-26-010549,0001716621,"CATHETER PRECISION, INC.",3841,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-31,RevenueFromContractWithCustomerExcludingAssessedTax,USD,819000.0,420000.0,399000.0,95.0,NetIncomeLoss,USD,-17183000.0,-16643000.0,-540000.0,-3.2446073424262454,-2098.046398046398,-3962.6190476190477,1864.5726495726492,OperatingIncomeLoss,USD,-21143000.0,-11243000.0,-9900000.0,-188.0547896468914,-2581.5628815628816,-2676.904761904762,95.34188034188027,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001437749-26-010731,0000744825,AMERICAN SHARED HOSPITAL SERVICES,8071,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-31,RevenueFromContractWithCustomerExcludingAssessedTax,USD,28082000.0,28340000.0,-258000.0,-0.9103740296400847,NetIncomeLoss,USD,-1553000.0,2186000.0,-3739000.0,-171.04300091491308,-5.530232889395342,7.71347918136909,-13.243712070764433,OperatingIncomeLoss,USD,-3588000.0,-2805000.0,-783000.0,-127.9144385026738,-12.776867744462646,-9.897671136203247,-2.8791966082593974,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001447669-26-000021,0001447669,TWILIO INC,7372,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-02-24,RevenueFromContractWithCustomerExcludingAssessedTax,USD,5067220000.0,4458036000.0,609184000.0,13.664851517574107,NetIncomeLoss,USD,33834000.0,-109403000.0,143237000.0,130.92602579453944,0.6677033955502228,-2.4540627307630536,3.1217661263132763,OperatingIncomeLoss,USD,157802000.0,-53708000.0,211510000.0,293.81470172041406,3.114173057416098,-1.204745766970029,4.3189188243861265,net_income_and_operating_income,improving,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001453687-26-000064,0001453687,"CARTESIAN THERAPEUTICS, INC.",2834,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-03-09,RevenueFromContractWithCustomerExcludingAssessedTax,USD,400000.0,38275000.0,-37875000.0,-98.95493141737427,NetIncomeLoss,USD,-130302000.0,-77424000.0,-52878000.0,-68.29665220086795,-32575.5,-202.28347485303723,-32373.21652514696,OperatingIncomeLoss,USD,-143405000.0,-43897000.0,-99508000.0,-326.6851948880333,-35851.25,-114.6884389288047,-35736.56156107119,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001467858-26-000013,0001467858,GENERAL MOTORS CO,3711,10-K,2025,FY,2025-12-31,2025-12-31,2024-12-31,365,2026-01-27,RevenueFromContractWithCustomerExcludingAssessedTax,USD,167971000000.0,171606000000.0,-3635000000.0,-2.1182243045114975,NetIncomeLoss,USD,2697000000.0,6008000000.0,-3311000000.0,-55.1098535286285,1.6056343059218556,3.5010430870715474,-1.895408781149692,OperatingIncomeLoss,USD,2909000000.0,12784000000.0,-9875000000.0,22.755006257822277,1.7318465687529394,7.449622973555703,-5.717776404802763,net_income_and_operating_income,declining,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
0001474432-26-000027,0001474432,"EVERPURE, INC.",3572,10-K,2026,FY,2026-01-31,2026-01-31,2025-01-31,365,2026-03-25,RevenueFromContractWithCustomerExcludingAssessedTax,USD,3662843000.0,3168164000.0,494679000.0,15.614059120676833,NetIncomeLoss,USD,188181000.0,106739000.0,81442000.0,76.30013397165048,5.137566638810345,3.369112205049991,1.7684544337603532,OperatingIncomeLoss,USD,114816000.0,85258000.0,29558000.0,134.66888737713762,3.134614287317256,2.69108543623373,0.44352885108352585,net_income_and_operating_income,mixed_or_flat,Improving/declining requires both available margins to move at least 0.5 percentage points in the same direction; net-income margin is used when operating income is unavailable.
